proposal_id,investigator_id,investigator_name,career_stage,college_code,college_name,sponsor_id,sponsor_name,sponsor_type,proposal_type,submission_date,submission_month,fiscal_year,requested_amount,proposal_status,award_id,awarded_amount,decision_date,days_to_decision,award_start_date,award_end_date
LP-2026-00001,R0051,Victor Singh,Established,SOC,College of Social Innovation,S010,Global Health Foundation,Foundation,Equipment,2026-07-18,2026-07,FY27,58100,Under Review,,0,,,,
LP-2025-00002,R0052,Chloe Chen,Senior,HUM,College of Humanities,S021,Vertex Mobility Systems,Industry,Research Project,2025-11-01,2025-11,FY26,571400,Active,AW2-2025-00002,437800,2026-02-15,106,2026-03-08,2029-03-07
LP-2024-00003,R0142,Chloe Chen,Established,SCI,College of Science,S025,Interdisciplinary Catalyst Fund,Internal,Research Project,2024-12-06,2024-12,FY25,142700,Active,AW2-2024-00003,97700,2025-02-23,79,2025-04-04,2028-04-03
LP-2023-00004,R0029,Rafael Reyes,Established,BUS,School of Business,S021,Vertex Mobility Systems,Industry,Equipment,2023-07-07,2023-07,FY24,96200,Active,AW2-2023-00004,71300,2023-11-26,142,2024-01-19,2025-07-12
LP-2023-00005,R0041,Maya Bennett,Established,LAW,School of Law and Public Policy,S014,Biomedical Discovery Foundation,Foundation,Research Project,2023-05-19,2023-05,FY23,80500,Not Funded,,0,2023-08-07,80,,
LP-2023-00006,R0125,Daniel Walker,Established,BUS,School of Business,S002,Natural Sciences Research Council,Federal,Research Project,2023-08-02,2023-08,FY24,389100,Active,AW2-2023-00006,362600,2023-10-01,60,2023-11-04,2025-11-03
LP-2025-00007,R0057,Grace Williams,Established,LAW,School of Law and Public Policy,S003,Social Innovation Research Council,Federal,Internal Seed,2025-09-09,2025-09,FY26,40200,Active,AW2-2025-00007,38100,2025-10-31,52,2026-01-01,2028-01-01
LP-2023-00008,R0167,Zain Gupta,Established,HSC,College of Health Sciences,S021,Vertex Mobility Systems,Industry,Research Project,2023-05-16,2023-05,FY23,59800,Not Funded,,0,2023-10-12,149,,
LP-2023-00009,R0055,Sofia Evans,Early Career,HSC,College of Health Sciences,S014,Biomedical Discovery Foundation,Foundation,Internal Seed,2023-05-16,2023-05,FY23,34700,Not Funded,,0,2023-07-18,63,,
LP-2023-00010,R0113,Isabelle Laurent,Established,LAW,School of Law and Public Policy,S005,National Science Foundation,Federal,Training Grant,2023-03-25,2023-03,FY23,367900,Active,AW2-2023-00010,323700,2023-07-20,117,2023-08-16,2025-08-15
LP-2024-00011,R0159,Carlos Ito,Early Career,HSC,College of Health Sciences,S020,Northstar Analytics,Industry,Research Project,2024-03-08,2024-03,FY24,402400,Closed,AW2-2024-00011,318000,2024-06-02,86,2024-07-13,2026-01-04
LP-2024-00012,R0177,Grace Williams,Established,LAW,School of Law and Public Policy,S010,Global Health Foundation,Foundation,Internal Seed,2024-04-02,2024-04,FY24,395500,Not Funded,,0,2024-08-23,143,,
LP-2026-00013,R0113,Isabelle Laurent,Established,LAW,School of Law and Public Policy,S005,National Science Foundation,Federal,Research Project,2026-06-15,2026-06,FY26,54700,Not Funded,,0,2026-08-20,66,,
LP-2024-00014,R0031,Fatima Khan,Established,HSC,College of Health Sciences,S012,Future Cities Foundation,Foundation,Fellowship,2024-04-26,2024-04,FY24,224400,Not Funded,,0,2024-08-06,102,,
